phrase,freq,f_len,max_subgram_freq,partial_order,min_support,mutual_confidence,f_avg_wordlength,f_pos_nn,f_pos_prop,f_pos_verb,f_pos_adj,f_pos_deter,f_pos_empty,f_pos_other,f_completeness,f_postagUniqueness,is_know_phrase
develop ai,4,2,0,0,0.03,-1,4.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,0,1
develop ai fsusw project,1,4,4,0,0.01,0.625,5.25,0.75,0.0,0.25,0.0,0.0,0.0,0.0,0,0,1
develop autonomy,6,2,0,0,0.04,-1,7.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,0,4
develop autonomy mission payload,1,4,6,0,0.01,3.5,7.25,0.75,0.0,0.25,0.0,0.0,0.0,0.0,0,0,2
develop hardware,8,2,0,0,0.06,-1,7.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,0,1
develop hardware service use,85,4,138,0,0.59,0.337,6.25,0.75,0.0,0.25,0.0,0.0,0.0,0.0,0,0,2
develop hardware service use inp program,4,6,138,0,0.03,0.188,5.83,0.833,0.0,0.167,0.0,0.0,0.0,0.0,0,0,2
develop hardware service use inp program developing inps,57,8,138,0,0.67,0.382,6.12,0.75,0.0,0.25,0.0,0.0,0.0,0.0,0,0,2
develop hardware service use inp program developing inps mission area requirement,7,11,138,0,0.12,0.278,6.45,0.818,0.0,0.182,0.0,0.0,0.0,0.0,0,0,2
develop hardware service use inp program developing inps mission area requirement pe translate,1,13,138,0,0.02,0.122,6.31,0.846,0.0,0.154,0.0,0.0,0.0,0.0,0,0,2
develop hardware service use production feasibility,7,6,138,0,0.05,0.214,7.67,0.833,0.0,0.167,0.0,0.0,0.0,0.0,0,0,2
develop hardware service use production feasibility acquisition potential,1,8,138,0,0.01,0.155,8.25,0.875,0.0,0.125,0.0,0.0,0.0,0.0,0,0,2
develop methodology,1,2,0,0,0.01,-1,9.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,0,1
develop technology enable directed energy,1,5,11,0,0.01,0.227,7.4,0.4,0.0,0.6,0.0,0.0,0.0,0.0,0,0,2
develop warfighting concept,1,3,1,0,0.01,-1,8.33,0.333,0.0,0.667,0.0,0.0,0.0,0.0,0,0,2
developed manufacturing technology,2,3,3,0,0.14,-1,10.67,0.667,0.0,0.0,0.333,0.0,0.0,0.0,0,0,2
developing,1,1,0,0,0.07,-1,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
developing inps,57,2,0,0,4.07,-1,7.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,0,2
developing inps mission area requirement,7,5,57,0,0.12,1.185,7.2,0.8,0.0,0.2,0.0,0.0,0.0,0.0,0,0,1
developing inps mission area requirement pe translate,1,7,57,0,0.02,0.784,6.71,0.857,0.0,0.143,0.0,0.0,0.0,0.0,0,0,2
developing model,12,2,0,0,0.86,-1,7.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,0,4
developing model joint non-lethal weapon conduct research,1,7,12,0,0.08,6.5,7.29,0.857,0.0,0.143,0.0,0.0,0.0,0.0,0,0,2
development,2,1,0,0,0.14,-1,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,4
development advanced technology,1,3,12,1,0.07,-1,9.67,0.667,0.0,0.333,0.0,0.0,0.0,0.0,0,0,2
development community,4,2,0,0,0.29,-1,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
development community naval fleet/forces,1,4,4,0,0.07,2.5,9.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
development cycle congressional add,2,4,1,0,0.14,-1,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
development research,1,2,0,0,0.07,-1,9.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
development effort,1,2,0,0,0.07,-1,8.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
development establishment (nr &de),1,4,0,0,0.07,-1,7.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
development framework,5,2,0,0,0.36,-1,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
device housing container,1,3,0,0,0.07,-1,7.33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
device housings/containers,1,2,0,0,0.07,-1,12.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
device,14,1,0,0,1.0,-1,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
devops,1,1,0,0,0.07,-1,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
devops environment,18,2,0,0,1.29,-1,8.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
devops environment project unit,1,4,57,0,0.06,0.167,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
dew,1,1,0,0,0.07,-1,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
dexterous manipulator,1,2,0,0,0.07,-1,10.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,4
dfas,1,1,0,0,0.07,-1,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
diagnosis,4,1,0,0,0.29,-1,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
different isr platform,1,3,1,0,0.07,-1,6.67,0.667,0.0,0.0,0.333,0.0,0.0,0.0,0,0,1
digital integration,2,2,0,0,0.14,-1,9.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,4
digital signal processing,3,3,2,0,0.21,-1,7.67,0.667,0.0,0.0,0.333,0.0,0.0,0.0,0,0,4
digital waveform,1,2,0,0,0.07,-1,7.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,4
direct observation,1,2,0,0,0.07,-1,8.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,4
directed energy,8,2,0,0,0.57,-1,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,4
directed,1,1,0,0,0.07,-1,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
directed energy (de,3,3,8,0,0.21,-1,5.67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
directed energy application,2,3,8,0,0.14,-1,8.33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
directed energy description,2,3,8,0,0.14,-1,8.33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
directed energy electric weapon,1,4,8,0,0.07,-1,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
directed energy fy,2,3,8,0,0.14,-1,5.33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
directed energy platform protection,2,4,8,0,0.14,1.25,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
directed energy system,1,3,8,0,0.07,-1,6.67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
directed energy weapon,4,3,8,0,0.29,-1,6.67,0.667,0.0,0.333,0.0,0.0,0.0,0.0,0,0,4
directed energy weapon millimeter wave,1,5,9,0,0.07,0.5,6.8,0.8,0.0,0.2,0.0,0.0,0.0,0.0,0,0,1
directed energy weapon system size,1,5,8,0,0.07,-1,6.0,0.8,0.0,0.2,0.0,0.0,0.0,0.0,0,0,2
direction,4,1,0,0,0.29,-1,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
directive,1,1,0,0,0.07,-1,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
directorate (mc wl /fd),1,4,0,0,0.07,-1,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
directorate (mc wl /fd) combat service support,1,7,4,0,1.0,-1,5.71,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
disadvantaged user,1,2,0,0,0.07,-1,8.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,0,4
disaggregated operation,1,2,0,0,0.07,-1,11.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,1,2
discovered technology,1,2,0,0,0.07,-1,10.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,0,4
discovery,8,1,0,0,0.57,-1,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
discrete function,1,2,0,0,0.07,-1,8.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,4
discretionary basis,1,2,0,0,0.07,-1,9.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,4
dismounted diagnosis,1,2,0,0,0.07,-1,9.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,0,2
dismounted operation,3,2,0,0,0.21,-1,9.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,0,4
dismounted operation dismounted diagnosis,1,4,3,0,0.07,2.0,9.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,0,2
disrupted,5,1,0,0,0.36,-1,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
disrupted intermittent,1,2,0,0,0.07,-1,10.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
disruption,1,1,0,0,0.07,-1,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
disruption technology,8,2,0,0,0.57,-1,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
disruption technology including materiel,1,4,8,0,0.07,-1,9.25,0.75,0.0,0.25,0.0,0.0,0.0,0.0,0,0,2
disruptive capability,16,2,0,0,1.14,-1,10.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,4
distributed artificial intelligence capability,1,4,121,0,0.07,-1,10.75,0.75,0.0,0.0,0.25,0.0,0.0,0.0,0,0,2
distributed force,1,2,0,0,0.07,-1,8.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,4
distributed maritime operation,59,3,1,0,4.21,-1,9.33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,4
distributed system,2,2,0,0,0.14,-1,8.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,4
distributed,6,1,0,0,0.43,-1,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
distributed electronic warfare,3,3,32,0,0.21,-1,9.33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
distributed intermittent,1,2,0,0,0.07,-1,11.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
distributed maritime operation (dm ). n etwork centric capability,1,9,59,0,-1,-1,6.33,0.889,0.0,0.0,0.0,0.0,0.111,0.0,0,0,2
distributed maritime operation concept,1,4,59,0,0.02,-1,8.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
distributed maritime operation emphasis,1,4,59,0,0.02,-1,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
distributed maritime operation major thrust,1,5,59,0,0.02,-1,7.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
distributed maritime operation precision identification,1,5,59,0,0.02,-1,10.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
distributed maritime operation undersea warfare,1,5,59,0,0.02,-1,8.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
distributed search description,1,3,0,0,0.07,-1,9.33,0.667,0.0,0.333,0.0,0.0,0.0,0.0,0,0,2
distributed undersea warfare,1,3,13,0,0.07,-1,8.67,0.667,0.0,0.333,0.0,0.0,0.0,0.0,0,0,2
distributed control,1,2,0,0,0.07,-1,9.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,0,4
distributed intelligence,1,2,0,0,0.07,-1,11.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,0,4
distributed operation,1,2,0,0,0.07,-1,10.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,0,4
distributed sensor field,1,3,1,0,0.07,-1,7.33,0.667,0.0,0.333,0.0,0.0,0.0,0.0,0,0,2
distributed sensor,1,2,0,0,0.07,-1,8.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,0,4
distributed unit,1,2,0,0,0.07,-1,7.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,0,4
diver capability,1,2,0,0,0.07,-1,7.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
diver mobility,2,2,0,0,0.14,-1,6.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
diver operation,1,2,0,0,0.07,-1,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
diver performance,2,2,0,0,0.14,-1,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
diverse target,3,2,0,0,0.21,-1,6.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,2
dmo,1,1,0,0,0.07,-1,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
doctrine,1,1,0,0,0.07,-1,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
document `sep` "f ull spectrum undersea warfare concept,3,8,13,0,-1,-1,5.5,0.75,0.0,0.0,0.125,0.0,0.125,0.0,0,0,2
dod eod program board,2,4,3,0,0.03,0.5,4.5,0.75,0.0,0.0,0.25,0.0,0.0,0.0,0,0,2
dod non-lethal weapon (nl,1,4,1,0,0.01,-1,5.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,2
dod non-lethal weapon program,1,4,6,0,0.01,-1,6.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,2
dod operation,1,2,0,0,0.01,-1,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1
dod,79,1,0,0,5.64,-1,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
dod ea,1,2,0,0,0.01,-1,2.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
dod eod,1,2,0,0,0.01,-1,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
dod eod program board validated requirement,1,6,3,0,0.01,-1,6.33,0.833,0.0,0.167,0.0,0.0,0.0,0.0,0,0,2
dod eod s,1,3,1,0,0.01,-1,2.33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
dod eod s&t,1,3,1,0,0.01,-1,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
dod explosive ordnance disposal,1,4,1,0,0.01,-1,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
dod explosive ordnance disposal (eo,1,5,1,0,0.01,-1,6.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
dod joint,1,2,0,0,0.01,-1,4.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,1
dod joint capability,1,3,1,0,0.01,-1,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
dod joint eod,31,3,118,0,0.39,-1,3.67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
dod joint eod ied,1,4,118,0,0.01,-1,3.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
dod nlw executive agent,3,4,0,0,0.04,-1,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
dod nlw executive agent (ea ). t,2,7,3,0,0.67,-1,3.71,0.857,0.0,0.0,0.0,0.0,0.143,0.0,0,0,2
dod non-lethal weapon,1,3,0,0,0.01,-1,6.33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
dod single manager responsibility,1,4,2,0,0.01,-1,7.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
dod weapon program,1,3,6,0,0.01,-1,5.33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
domain environment,1,2,0,0,0.07,-1,8.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
domain kill,2,2,0,0,0.14,-1,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
domain,1,1,0,0,0.07,-1,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
don,24,1,0,0,1.71,-1,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
don applied,7,2,0,0,0.29,-1,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
don applied advanced technology,44,4,95,0,1.83,2.125,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
don applied advanced technology naval,1,5,95,0,0.02,0.098,6.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
don technology,1,2,0,0,0.04,-1,6.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
dose response,1,2,0,0,0.07,-1,6.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,4
dosimetry technology,1,2,0,0,0.07,-1,9.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
drive network centric s&t investment,1,5,2,0,0.07,-1,6.4,0.8,0.0,0.0,0.2,0.0,0.0,0.0,0,0,1
drive network centric science,1,4,0,0,0.07,-1,6.5,0.75,0.0,0.0,0.25,0.0,0.0,0.0,0,0,2
drive development,1,2,0,0,0.07,-1,8.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,0,4
drop stitch panel,2,3,0,0,0.14,-1,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
dten,1,1,0,0,0.07,-1,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
du rip,1,2,0,0,0.07,-1,2.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,1
dual manipulator system,1,3,1,0,0.07,-1,7.0,0.667,0.0,0.0,0.333,0.0,0.0,0.0,0,0,4
due,51,1,0,0,3.64,-1,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
due inps,107,2,0,0,2.1,-1,3.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
due inps naval research,2,4,747,0,0.02,0.073,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
due inps naval research onr,1,5,747,0,0.01,0.199,4.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
due inps technology readiness level,1,5,400,0,0.01,0.135,6.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
duplicative service s&t investment,2,4,2,0,0.14,-1,7.75,0.75,0.0,0.0,0.25,0.0,0.0,0.0,0,0,2
dur ip project,1,3,0,0,0.07,-1,4.0,0.667,0.0,0.0,0.333,0.0,0.0,0.0,0,0,1
dur ip effort,1,3,0,0,0.07,-1,3.67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
duration,1,1,0,0,0.07,-1,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
duration wireless human,1,3,0,0,0.07,-1,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
durip fund,1,2,0,0,0.0,-1,4.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
durip,215,1,0,0,15.36,-1,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
durip defense university research,1,4,15,0,0.0,-1,7.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
durip durip,1,2,0,0,0.0,-1,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
durip effort,1,2,0,0,0.0,-1,5.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
durip interest item,1,3,21,0,0.0,-1,5.67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
durip project support university research infrastructure,1,6,15,0,0.0,-1,8.5,0.833,0.0,0.167,0.0,0.0,0.0,0.0,0,0,2
durip radar technology,1,3,0,0,0.0,-1,6.67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
dusv capable,3,2,0,0,0.21,-1,5.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
dynamic bandwidth management,1,3,0,0,0.07,-1,8.67,0.333,0.0,0.0,0.667,0.0,0.0,0.0,0,0,4
dynamic range,1,2,0,0,0.07,-1,6.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,4
dynamic synchronized action,1,3,0,0,0.07,-1,8.33,0.333,0.0,0.0,0.667,0.0,0.0,0.0,0,0,1
dynamic,2,1,0,0,0.14,-1,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
e lectronic warfare (ew,1,4,0,0,0.07,-1,5.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,2
e,2,1,0,0,0.14,-1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
e.,1,1,0,0,0.07,-1,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,4
ea,3,1,0,0,0.21,-1,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
early technology exposure,1,3,0,0,0.07,-1,7.67,0.667,0.0,0.0,0.333,0.0,0.0,0.0,0,0,4
ec,18,1,0,0,1.29,-1,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
ec joint eod demo,1,4,118,0,0.06,-1,3.5,0.75,0.0,0.0,0.25,0.0,0.0,0.0,0,0,1
ec technology,1,2,0,0,0.06,-1,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
echelon,2,1,0,0,0.14,-1,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
edge communication,1,2,0,0,0.07,-1,8.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
education,4,1,0,0,0.29,-1,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,4
education outreach,3,2,0,0,0.21,-1,8.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
education outreach add subtotal,1,4,5,0,0.07,0.4,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
education technology,3,2,0,1,0.21,-1,9.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
effect,3,1,0,0,0.21,-1,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,4
effect capability-gaps,1,2,0,0,0.07,-1,10.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
effective countermeasure,1,2,0,0,0.07,-1,11.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,4
effective defense,2,2,0,0,0.14,-1,8.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,4
effective distributed maritime operation,2,4,59,0,0.14,-1,9.25,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,2
effective innovation process,1,3,1,0,0.07,-1,8.67,0.667,0.0,0.0,0.333,0.0,0.0,0.0,0,0,4
effective operation,1,2,0,0,0.07,-1,9.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,1
effectiveness,6,1,0,0,0.43,-1,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
effectiveness model,2,2,0,0,0.14,-1,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
efficiency congressional add,2,3,1,0,0.14,-1,8.67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
efficiency fy,2,2,0,0,0.14,-1,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
efficient,1,1,0,0,0.07,-1,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
effort,116,1,0,0,8.29,-1,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,4
effort . in investment represent game,1,6,1,0,0.01,-1,5.33,0.667,0.0,0.0,0.167,0.0,0.167,0.0,0,0,2
effort align,1,2,0,0,0.01,-1,5.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
effort focus,1,2,0,0,0.01,-1,5.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
effort include command,1,3,0,0,0.01,-1,6.67,0.667,0.0,0.333,0.0,0.0,0.0,0.0,0,0,1
effort include developing breadboard hardware,115,5,13,0,0.99,-1,8.2,0.6,0.0,0.4,0.0,0.0,0.0,0.0,0,0,1
effort include developing breadboard hardware exploration effort,41,7,115,0,0.36,-1,8.29,0.714,0.0,0.286,0.0,0.0,0.0,0.0,0,0,1
effort include developing breadboard hardware exploration effort technology effort,45,9,115,0,0.39,-1,8.22,0.778,0.0,0.222,0.0,0.0,0.0,0.0,0,0,2
effort include developing breadboard hardware exploration effort technology effort acquisition decision,25,11,115,0,0.56,-1,8.45,0.818,0.0,0.182,0.0,0.0,0.0,0.0,0,0,1
effort include developing breadboard hardware exploration effort technology effort acquisition decision warfighting system,37,13,131,0,0.82,-1,8.46,0.769,0.0,0.231,0.0,0.0,0.0,0.0,0,0,1
effort include developing breadboard hardware exploration effort technology effort acquisition decision warfighting system information security concern,6,16,131,0,0.16,-1,8.5,0.812,0.0,0.188,0.0,0.0,0.0,0.0,0,0,1
effort include developing breadboard hardware exploration effort technology effort acquisition decision warfighting system information security concern project effort,1,18,131,0,0.03,-1,8.28,0.833,0.0,0.167,0.0,0.0,0.0,0.0,0,0,1
effort include development,1,3,1,0,0.01,-1,8.0,0.667,0.0,0.333,0.0,0.0,0.0,0.0,0,0,1
effort include power management,1,4,2,0,0.01,-1,7.0,0.75,0.0,0.25,0.0,0.0,0.0,0.0,0,0,2
effort involve team,1,3,0,0,0.01,-1,5.67,0.667,0.0,0.333,0.0,0.0,0.0,0.0,0,0,2
effort research focus,2,3,2,0,0.02,-1,6.33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
ele ktra inp effort,3,4,18,0,0.21,0.111,4.0,0.75,0.0,0.0,0.25,0.0,0.0,0.0,0,0,2
ele ktra,1,2,0,0,0.07,-1,3.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
ele ktra inp effort . in investment represent game,1,9,18,0,0.33,1.0,4.67,0.778,0.0,0.0,0.111,0.0,0.111,0.0,0,0,1
electric incapacitation,1,2,0,0,0.07,-1,11.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,2
electric pulse,1,2,0,0,0.07,-1,6.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,4
electric stun,1,2,0,0,0.07,-1,6.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,4
electric weapon system . in investment represent game,1,8,3,0,1.0,-1,5.75,0.75,0.0,0.0,0.125,0.0,0.125,0.0,0,0,2
electric weapon system,1,3,3,0,0.07,-1,6.67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
electrical application,1,2,0,0,0.07,-1,10.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,4
electrical,1,1,0,0,0.07,-1,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
electrical (hm,1,2,0,0,0.07,-1,6.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
electricity,3,1,0,0,0.21,-1,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
electro,1,1,0,0,0.07,-1,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
electro optic,1,2,0,0,0.07,-1,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
electro optic infrared devise,2,4,1,0,0.14,-1,6.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
electro optic/infrared devise,1,3,0,0,0.07,-1,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
electro- optic,1,2,0,0,0.07,-1,6.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
